Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10,return,log_return,real_return,cape,cape_z
1871-01-01,4.44,0.26,0.4,12.46,5.32,109.05,6.39,9.82,,,,,,
1871-02-01,4.5,0.26,0.4,12.84,5.32,107.25,6.2,9.53,,0.013513513513513375,0.0134230203321406,-0.016506189821182904,,
1871-03-01,4.61,0.26,0.4,13.03,5.33,108.27,6.11,9.39,,0.02444444444444449,0.024150460232283066,0.009510489510489384,,
1871-04-01,4.74,0.26,0.4,12.56,5.33,115.54,6.34,9.75,,0.02819956616052055,0.027809278698427864,0.06714694744619942,,
1871-05-01,4.86,0.26,0.4,12.27,5.33,121.22,6.48,9.98,,0.025316455696202445,0.02500130220541741,0.04916046390860296,,
1871-06-01,4.82,0.26,0.4,12.08,5.34,122.11,6.59,10.13,,-0.008230452674897082,-0.008264509849893464,0.00734202276852014,,
1871-07-01,4.73,0.26,0.4,12.08,5.34,119.83,6.59,10.13,,-0.018672199170124415,-0.018848725558667345,-0.018671689460322716,,
1871-08-01,4.79,0.26,0.4,11.89,5.34,123.29,6.69,10.3,,0.012684989429175397,0.012605208918982092,0.028874238504548178,,
1871-09-01,4.84,0.26,0.4,12.18,5.35,121.66,6.54,10.05,,0.010438413361169019,0.010384309305716544,-0.013220861383729465,,
1871-10-01,4.59,0.26,0.4,12.37,5.35,113.6,6.43,9.9,,-0.051652892561983466,-0.05303469665608662,-0.06625020549071181,,
1871-11-01,4.64,0.26,0.4,12.37,5.35,114.84,6.43,9.9,,0.01089324618736387,0.01083434216571022,0.01091549295774663,,
1871-12-01,4.74,0.26,0.4,12.65,5.36,114.67,6.29,9.68,,0.02155172413793105,0.021322769468821168,-0.0014803204458376795,,
1872-01-01,4.86,0.2633,0.4025,12.65,5.36,117.57,6.37,9.74,,0.025316455696202445,0.02500130220541741,0.025289962501090058,,
1872-02-01,4.88,0.2667,0.405,12.65,5.38,118.05,6.45,9.8,,0.00411522633744843,0.004106781952653238,0.0040826741515693765,,
1872-03-01,5.04,0.27,0.4075,12.84,5.4,120.12,6.43,9.71,,0.032786885245901676,0.03226086221822144,0.017534942820838673,,
1872-04-01,5.18,0.2733,0.41,13.13,5.42,120.77,6.37,9.56,,0.02777777777777768,0.027398974188114433,0.005411255411255311,,
1872-05-01,5.18,0.2767,0.4125,13.13,5.43,120.77,6.45,9.62,,0.0,0.0,0.0,,
1872-06-01,5.13,0.28,0.415,13.03,5.45,120.48,6.58,9.75,,-0.009652509652509633,-0.009699397088713368,-0.0024012585907094985,,
1872-07-01,5.1,0.2833,0.4175,12.84,5.47,121.55,6.75,9.95,,-0.005847953216374324,-0.005865119452398204,0.008881142098273509,,
1872-08-01,5.04,0.2867,0.42,12.94,5.49,119.24,6.78,9.94,,-0.0117647058823529,-0.01183445764700286,-0.01900452488687787,,
1872-09-01,4.95,0.29,0.4225,13.03,5.51,116.25,6.81,9.92,,-0.017857142857142794,-0.01801850550267825,-0.025075478027507536,,
1872-10-01,4.97,0.2933,0.425,12.75,5.52,119.33,7.04,10.2,,0.004040404040403844,0.004032263527938396,0.02649462365591404,,
1872-11-01,4.95,0.2967,0.4275,13.13,5.54,115.41,6.92,9.97,,-0.004024144869215207,-0.004032263527938396,-0.032850079611162375,,
1872-12-01,5.07,0.3,0.43,12.94,5.56,119.95,7.1,10.17,,0.024242424242424176,0.023953241022492966,0.039338012303959946,,
1873-01-01,5.11,0.3025,0.4325,12.94,5.58,120.89,7.16,10.23,,0.007889546351084853,0.007858586612521146,0.007836598582742882,,
1873-02-01,5.15,0.305,0.435,13.23,5.57,119.21,7.06,10.07,,0.007827788649706457,0.007797310460031737,-0.013896931094383391,,
1873-03-01,5.11,0.3075,0.4375,13.23,5.56,118.28,7.12,10.13,,-0.007766990291262155,-0.007797310460031737,-0.007801358946397108,,
1873-04-01,5.04,0.31,0.44,13.23,5.55,116.66,7.18,10.18,,-0.013698630136986356,-0.013793322132335861,-0.013696313831586093,,
1873-05-01,5.05,0.3125,0.4425,12.94,5.54,119.47,7.39,10.47,,0.001984126984126977,0.001982161203991195,0.02408709069089654,,
1873-06-01,4.98,0.315,0.445,12.56,5.53,121.39,7.68,10.85,,-0.013861386138613763,-0.01395835225070674,0.016070980162383952,,
1873-07-01,4.97,0.3175,0.4475,12.56,5.53,121.14,7.74,10.91,,-0.002008032128514192,-0.0020100509280243095,-0.002059477716451097,,
1873-08-01,4.97,0.32,0.45,12.56,5.52,121.14,7.8,10.97,,0.0,0.0,0.0,,
1873-09-01,4.59,0.3225,0.4525,12.56,5.51,111.88,7.86,11.03,,-0.07645875251509049,-0.07953981603608362,-0.07644048208684173,,
1873-10-01,4.19,0.325,0.455,12.27,5.5,104.5,8.11,11.35,,-0.08714596949891051,-0.0911792901384072,-0.06596353235609576,,
1873-11-01,4.04,0.3275,0.4575,11.89,5.49,103.99,8.43,11.78,,-0.0357995226730311,-0.03645604196098784,-0.004880382775119707,,
1873-12-01,4.42,0.33,0.46,12.18,5.48,111.1,8.3,11.56,,0.09405940594059414,0.08989500411654805,0.06837195884219627,,
1874-01-01,4.66,0.33,0.46,12.37,5.47,115.33,8.17,11.38,,0.05429864253393668,0.05287575204794792,0.03807380738073807,,
1874-02-01,4.8,0.33,0.46,12.37,5.44,118.8,8.17,11.38,,0.030042918454935563,0.029600469776290605,0.030087574785398363,,
1874-03-01,4.73,0.33,0.46,12.37,5.4,117.07,8.17,11.38,,-0.01458333333333317,-0.014690715410003552,-0.014562289562289554,,
1874-04-01,4.6,0.33,0.46,12.18,5.37,115.63,8.3,11.56,,-0.02748414376321373,-0.027868899008792525,-0.012300333134022345,,
1874-05-01,4.48,0.33,0.46,12.08,5.34,113.5,8.36,11.65,,-0.02608695652173898,-0.026433257068155358,-0.018420825045403433,,
1874-06-01,4.46,0.33,0.46,11.8,5.3,115.72,8.56,11.94,,-0.0044642857142858094,-0.0044742803949211485,0.019559471365638847,,
1874-07-01,4.46,0.33,0.46,11.89,5.27,114.8,8.49,11.84,,0.0,0.0,-0.00795022468026274,,
1874-08-01,4.47,0.33,0.46,11.8,5.24,115.98,8.56,11.94,,0.0022421524663676085,0.0022396425935047315,0.010278745644599407,,
1874-09-01,4.54,0.33,0.46,11.8,5.2,117.8,8.56,11.94,,0.015659955257270708,0.01553860342777913,0.015692360751853762,,
1874-10-01,4.53,0.33,0.46,11.61,5.17,119.47,8.7,12.13,,-0.0022026431718060735,-0.002205072558313814,0.014176570458404036,,
1874-11-01,4.57,0.33,0.46,11.51,5.14,121.52,8.77,12.23,,0.008830022075055233,0.00879126541117059,0.017159119444212,,
1874-12-01,4.54,0.33,0.46,11.51,5.1,120.72,8.77,12.23,,-0.006564551422319487,-0.006586192852856776,-0.006583278472679366,,
1875-01-01,4.54,0.3275,0.4517,11.51,5.07,120.72,8.71,12.01,,0.0,0.0,0.0,,
1875-02-01,4.53,0.325,0.4433,11.51,5.03,120.46,8.64,11.79,,-0.0022026431718060735,-0.002205072558313814,-0.0021537442014579744,,
1875-03-01,4.59,0.3225,0.435,11.51,4.99,122.05,8.58,11.57,,0.013245033112582627,0.013158084577510998,0.013199402291216966,,
1875-04-01,4.65,0.32,0.4267,11.61,4.95,122.63,8.44,11.25,,0.013071895424836777,0.012987195526811268,0.004752150757886042,,
1875-05-01,4.47,0.3175,0.4183,11.32,4.91,120.86,8.58,11.31,,-0.03870967741935494,-0.03947881097378758,-0.014433662235994404,,
1875-06-01,4.38,0.315,0.41,11.13,4.87,120.45,8.66,11.27,,-0.020134228187919434,-0.020339684237122624,-0.003392354790666907,,
1875-07-01,4.39,0.3125,0.4017,11.13,4.83,120.72,8.59,11.05,,0.0022831050228309113,0.002280502698725151,0.0022415940224158604,,
1875-08-01,4.41,0.31,0.3933,11.23,4.79,120.25,8.45,10.72,,0.004555808656036442,0.004545462371674747,-0.003893306825712428,,
1875-09-01,4.37,0.3075,0.385,11.13,4.75,120.17,8.46,10.59,,-0.009070294784580546,-0.009111680351255869,-0.0006652806652805987,,
1875-10-01,4.3,0.305,0.3767,11.13,4.71,118.25,8.39,10.36,,-0.016018306636155666,-0.016147986407982096,-0.015977365399018062,,
