date,AAPL,MSFT,JPM,BAC,XOM,CVX,KO,PEP,JNJ,PFE,WMT,TGT
2013-02-08,67.8542,27.55,48.63,11.76,88.61,115.64,38.77,72.6,75.48,26.88,71.48,62.49
2013-02-11,68.5614,27.86,48.66,11.86,88.28,115.64,38.61,72.36,75.41,27.14,71.4,62.67
2013-02-12,66.8428,27.88,49.14,12.245,88.46,116.5,37.56,72.17,75.8,26.99,71.4,62.73
2013-02-13,66.7156,28.03,48.68,12.17,88.67,115.53,37.21,71.5,75.66,27.0,71.39,62.69
2013-02-14,66.6556,28.04,49.22,12.13,88.52,115.71,36.84,72.28,75.81,27.06,70.82,63.09
2013-02-15,65.7371,28.01,48.88,12.03,88.36,114.96,37.42,73.68,76.16,27.29,69.3,61.71
2013-02-19,65.7128,28.045,49.45,12.19,89.32,115.92,37.67,75.5,76.96,27.71,68.76,61.87
2013-02-20,64.1214,27.87,48.61,11.8,88.97,114.99,37.73,75.42,76.65,27.57,69.21,62.65
2013-02-21,63.7228,27.49,48.25,11.42,88.59,114.99,37.71,75.36,76.87,27.41,70.26,63.4
2013-02-22,64.4014,27.76,48.91,11.44,89.2,115.96,38.52,75.57,76.25,27.38,70.4,63.6
2013-02-25,63.2571,27.37,47.7,11.03,87.7,113.54,37.72,75.19,75.57,26.84,70.44,62.89
2013-02-26,64.1385,27.37,47.6,11.13,88.51,114.96,38.11,75.62,75.75,27.03,71.11,64.05
2013-02-27,63.5099,27.81,49.28,11.3,89.53,116.65,38.45,75.48,76.32,27.41,71.66,63.12
2013-02-28,63.0571,27.8,48.92,11.23,89.55,117.15,38.72,75.77,76.11,27.37,70.78,62.96
2013-03-01,61.4957,27.95,48.91,11.34,89.43,116.9,38.7,75.93,76.7,27.39,71.74,64.13
2013-03-04,60.0071,28.15,49.1,11.41,88.95,117.49,38.82,76.6,77.2,27.69,73.26,66.44
2013-03-05,61.5919,28.35,49.49,11.55,89.61,117.93,38.68,76.9,77.66,28.07,73.72,66.68
2013-03-06,60.8088,28.09,50.03,11.92,89.56,118.47,39.02,76.8,77.39,28.12,73.38,66.12
2013-03-07,61.5117,28.14,50.63,12.26,88.71,118.56,39.12,77.14,77.75,28.27,73.32,65.85
2013-03-08,61.6742,28.0,50.2,12.07,88.97,118.57,39.22,77.2,78.19,28.19,73.03,66.35
2013-03-11,62.5528,27.87,50.48,12.15,89.16,118.73,39.31,76.85,78.44,28.25,72.98,67.34
2013-03-12,61.2042,27.91,50.28,12.01,89.16,118.25,38.96,76.89,78.56,27.94,73.6,67.11
2013-03-13,61.1928,27.915,50.16,12.06,89.26,118.36,38.59,76.95,78.55,28.02,73.65,67.43
2013-03-14,61.7857,28.135,51.0,12.11,89.83,120.0,39.02,77.19,79.1,28.11,73.22,67.34
2013-03-15,63.3799,28.035,50.02,12.57,89.37,119.68,38.83,77.04,79.19,28.02,72.5,66.8
2013-03-18,65.1028,28.1,49.51,12.56,88.77,119.13,38.76,76.68,78.81,28.04,72.25,66.76
2013-03-19,64.9271,28.18,49.2,12.71,88.58,119.46,39.33,76.67,78.86,27.99,72.45,66.46
2013-03-20,64.5828,28.315,49.12,12.78,88.63,120.35,39.87,76.32,79.45,28.29,72.99,68.52
2013-03-21,64.6756,28.11,48.35,12.57,88.17,120.34,40.07,76.15,79.01,28.11,73.13,68.05
2013-03-22,65.9871,28.25,48.78,12.56,89.29,121.18,40.04,78.64,79.74,28.38,74.28,68.42
2013-03-25,66.2256,28.16,48.52,12.4,89.02,120.18,40.12,77.83,79.68,28.16,74.85,68.41
2013-03-26,65.8765,28.155,48.64,12.28,90.13,120.98,40.69,78.92,80.85,28.6,74.77,68.61
2013-03-27,64.5828,28.37,47.77,12.23,90.58,120.19,40.22,78.29,81.27,28.64,74.78,69.05
2013-03-28,63.2371,28.605,47.46,12.18,90.11,118.82,40.44,79.11,81.53,28.86,74.83,68.45
2013-04-01,61.2728,28.61,47.83,12.15,90.77,119.61,40.45,79.1,81.93,28.84,75.43,68.66
2013-04-02,61.3988,28.8,48.28,12.15,90.58,119.0,40.72,79.74,82.69,29.23,76.02,68.83
2013-04-03,61.7128,28.56,46.85,11.81,89.93,117.78,40.17,78.96,82.07,29.03,76.0,67.98
2013-04-04,61.1028,28.595,47.49,11.94,89.77,118.07,40.54,79.53,82.41,29.16,76.2,68.79
2013-04-05,60.4571,28.7,47.91,11.97,89.01,117.52,40.08,78.59,82.04,29.1,76.39,68.85
2013-04-08,60.8871,28.59,48.58,12.21,88.6,117.81,40.86,79.5,81.11,29.16,77.29,69.26
2013-04-09,60.9971,29.61,48.68,12.25,88.77,118.64,40.71,79.21,81.52,29.11,78.12,68.92
2013-04-10,62.2414,30.28,49.25,12.32,88.68,119.64,41.07,80.06,82.02,29.92,77.37,68.86
2013-04-11,62.0471,28.935,49.31,12.27,89.22,120.95,41.18,79.96,82.32,30.64,77.79,69.12
2013-04-12,61.3999,28.79,49.01,12.17,88.99,119.94,41.08,79.99,82.74,30.67,78.56,69.49
2013-04-15,59.9785,28.69,47.93,11.98,86.49,116.57,40.09,78.92,81.71,30.45,78.47,68.48
2013-04-16,60.8914,28.97,48.49,12.28,86.61,117.01,42.37,80.0,83.44,30.94,78.68,68.38
2013-04-17,57.5428,28.825,46.79,11.7,86.08,114.81,42.55,78.85,83.9,30.87,78.51,68.76
2013-04-18,56.0071,28.79,46.64,11.44,86.62,115.59,42.1,81.25,83.18,30.59,77.16,68.29
2013-04-19,55.7899,29.765,47.23,11.66,87.45,115.9,42.66,82.77,84.49,31.06,78.29,69.04
2013-04-22,56.9528,30.83,47.35,11.72,88.09,116.57,42.72,83.38,84.83,30.93,77.97,69.1
2013-04-23,58.0185,30.6,48.17,12.07,89.3,117.48,42.7,84.1,85.45,31.08,79.09,69.69
2013-04-24,57.9231,31.76,48.72,12.31,89.43,118.28,42.15,82.34,84.39,30.6,78.03,69.71
2013-04-25,58.3399,31.94,49.0,12.44,88.07,118.51,42.35,82.82,85.22,30.26,78.65,70.67
2013-04-26,59.6007,31.79,48.88,12.42,88.0,120.04,42.1,82.51,85.12,30.09,79.04,70.52
2013-04-29,61.4457,32.61,48.92,12.38,88.21,121.32,42.24,82.65,85.58,30.43,78.39,70.64
2013-04-30,63.2542,33.1,49.01,12.31,88.99,122.01,42.33,82.47,85.23,29.07,77.72,70.56
2013-05-01,62.7557,32.72,48.01,12.14,87.51,120.27,42.21,82.21,84.23,28.9,78.06,70.54
2013-05-02,63.6457,33.16,48.08,12.19,88.63,122.04,41.96,82.56,85.16,29.27,78.46,69.19
2013-05-03,64.2828,33.49,47.57,12.24,90.02,123.49,42.24,82.83,85.75,28.96,79.25,70.5
2013-05-06,65.8156,33.75,48.18,12.88,90.58,123.25,42.08,82.5,84.68,28.72,78.83,70.03
2013-05-07,65.5225,33.31,49.14,12.9,91.15,123.04,42.7,83.34,85.53,29.03,78.83,70.55
2013-05-08,66.2628,32.99,49.76,13.02,91.7,123.36,42.46,83.25,85.46,28.73,78.25,69.8
2013-05-09,65.2528,32.66,49.04,12.91,91.03,123.64,42.12,82.85,85.15,28.6,78.4,69.48
2013-05-10,64.7099,32.69,48.96,13.02,90.14,123.23,42.15,83.0,85.76,28.72,78.89,69.74
2013-05-13,64.9628,33.03,49.67,12.98,90.1,122.85,42.19,83.03,85.85,29.37,78.5,69.44
2013-05-14,63.4085,33.53,50.23,13.34,91.11,125.0,42.52,83.5,86.97,29.4,78.78,69.44
2013-05-15,61.2642,33.845,51.09,13.44,91.24,123.01,42.92,84.25,87.64,29.56,79.86,70.39
2013-05-16,62.0825,34.08,50.97,13.36,90.7,122.76,43.09,83.74,87.45,29.25,78.5,70.0
2013-05-17,61.8942,34.87,52.3,13.43,91.76,123.42,42.97,83.8,88.09,28.96,77.87,71.06
2013-05-20,63.2757,35.08,52.29,13.51,92.52,124.78,42.38,82.59,88.01,28.7,77.4,70.65
2013-05-21,62.8085,34.85,53.02,13.44,92.8,125.94,42.34,82.63,88.59,28.78,77.39,71.26
2013-05-22,63.0505,34.61,53.63,13.31,92.19,124.93,42.25,82.97,88.46,29.3,77.03,68.4
2013-05-23,63.1628,34.15,53.35,13.21,91.79,125.4,41.93,82.12,87.21,29.11,76.33,68.67
2013-05-24,63.5928,34.269,53.66,13.24,91.53,125.45,42.24,82.58,86.82,29.04,77.31,69.72
2013-05-28,63.0627,35.02,54.6,13.35,92.38,126.43,42.55,82.43,87.61,29.01,77.32,69.51
2013-05-29,63.5642,34.88,54.67,13.48,92.08,125.49,41.4,81.12,85.65,28.28,76.23,69.42
2013-05-30,64.5114,35.03,55.62,13.83,92.09,125.11,40.77,81.22,85.99,28.25,75.63,69.82
2013-05-31,64.2478,34.9,54.59,13.66,90.47,122.75,39.99,80.77,84.18,27.23,74.84,69.5
2013-06-03,64.3885,35.59,54.49,13.55,91.46,124.09,40.81,81.4,84.71,27.75,75.69,71.05
2013-06-04,64.1871,34.99,54.04,13.36,90.79,122.96,41.42,81.63,84.1,27.66,75.94,71.51
2013-06-05,63.5871,34.78,53.03,13.09,89.65,121.57,40.65,81.2,83.68,27.48,75.25,70.17
2013-06-06,62.6371,34.96,53.5,13.2,90.23,120.59,40.79,81.66,84.46,28.11,75.63,70.26
2013-06-07,63.1158,35.67,54.27,13.38,91.45,121.7,41.41,82.51,84.91,28.26,76.33,70.36
2013-06-10,62.6985,35.47,54.36,13.3,91.12,122.69,41.18,82.85,85.14,28.37,75.75,69.88
2013-06-11,62.5142,34.84,53.49,13.12,90.46,121.45,40.79,82.53,84.69,28.42,75.25,70.0
2013-06-12,61.7414,35.0,53.18,13.06,89.74,119.97,40.39,82.11,83.74,28.43,74.84,69.43
2013-06-13,62.2807,34.715,54.17,13.21,91.33,121.66,40.41,81.98,84.91,29.08,75.0,69.59
2013-06-14,61.4357,34.4,53.13,13.07,90.58,120.28,40.34,82.13,84.91,29.09,74.87,69.03
2013-06-17,61.7142,35.0,53.85,13.21,91.51,121.22,40.68,82.55,85.63,29.16,74.95,69.86
2013-06-18,61.6814,34.98,54.11,13.27,91.93,121.52,40.93,82.57,86.36,29.4,75.73,70.16
2013-06-19,60.4285,34.59,53.55,13.19,91.0,120.5,40.41,80.89,84.86,29.1,74.46,68.88
2013-06-20,59.5482,33.49,52.48,12.89,89.05,117.95,39.13,78.91,82.62,28.635,73.03,68.66
2013-06-21,59.0714,33.265,51.96,12.69,89.48,118.93,39.76,80.13,83.2,28.46,73.51,68.83
2013-06-24,57.5057,33.715,50.92,12.3,88.48,116.82,39.53,80.13,84.61,27.71,74.2,68.29
2013-06-25,57.5185,33.67,52.08,12.67,89.11,117.45,39.72,80.04,85.35,27.99,74.37,69.13
2013-06-26,56.8671,34.35,52.5,12.76,89.8,118.15,40.33,81.3,86.99,28.1,75.01,69.12
2013-06-27,56.2542,34.62,53.15,13.01,90.04,118.71,40.26,81.74,86.71,28.18,75.26,68.79
2013-06-28,56.6471,34.545,52.79,12.86,90.35,118.34,40.11,81.79,85.86,28.01,74.49,68.86
2013-07-01,58.4599,34.36,52.49,12.93,90.3,119.08,40.46,82.04,86.63,27.78,74.59,69.33
2013-07-02,59.7842,33.94,52.8,12.9,90.64,119.15,40.37,81.68,86.57,27.7,74.71,69.56
2013-07-03,60.1142,34.01,52.77,12.83,90.69,119.08,40.49,80.73,86.78,27.65,74.76,69.38
2013-07-05,59.6314,34.21,53.99,13.06,91.57,120.51,40.52,80.8,87.87,27.97,75.21,70.25
2013-07-08,59.2928,34.325,54.7,13.28,92.25,121.24,40.54,81.78,88.59,28.13,76.71,71.18
2013-07-09,60.3357,34.35,54.89,13.53,93.34,123.27,40.83,82.77,88.88,28.35,77.03,71.77
2013-07-10,60.1042,34.7,54.83,13.37,92.82,122.9,40.68,82.99,89.24,28.44,76.77,72.03
2013-07-11,61.0411,35.685,55.14,13.51,93.27,123.77,41.03,84.55,89.67,28.77,77.63,72.57
2013-07-12,60.9299,35.67,54.97,13.78,93.4,124.06,41.03,84.32,89.99,28.81,77.63,72.56
2013-07-15,61.0628,36.17,54.89,13.88,93.25,124.68,41.01,84.72,90.4,28.79,77.03,72.35
2013-07-16,61.4564,36.27,55.01,13.92,93.3,124.12,40.23,84.02,90.4,28.68,77.37,72.07
2013-07-17,61.4728,35.74,55.27,14.31,93.46,124.35,40.84,85.24,90.13,28.68,77.2,72.61
2013-07-18,61.6797,35.44,56.37,14.76,94.38,125.47,40.81,86.8,90.17,28.49,77.34,72.42
2013-07-19,60.7071,31.4,56.16,14.75,95.17,126.91,41.09,86.41,92.23,29.09,78.08,72.55
